omm2_1,qm1_1,qm2_1,qm3_1,qm4_1,qra1_3,qra1_4,qra2_3,qra2_4,qra3_3,qra3_4,qra4_3,qra4_4,der(omm2_1),der(qm1_1),der(qm2_1),der(qm3_1),der(qm4_1),der(qra1_3),der(qra1_4),der(qra2_3),der(qra2_4),der(qra3_3),der(qra3_4),der(qra4_3),der(qra4_4),der(der(qra1_3)),der(der(qra2_3)),der(der(qra3_3)),der(der(qra4_3)),der(vm1_1),der(vm2_1),der(vm3_1),der(xm1_1),der(xm2_1),der(xm3_1),Fm3_1,Fr11_1,Fr11_2,Fr12_1,Fr12_2,Fr13_1,Fr13_2,Thr2_1,Tm1_1,Tm2_1,Tm3_1,Tr11_2,Tr12_2,Tr13_2,Tr21_1,Tr21_2,Tr22_1,Tr23_1,Tr23_2,omm1_1,omm3_1,qrj1_1,qrj2_1,qrj3_1,qrj4_1,vm1_1,vm2_1,vm3_1,xm1_1,xm2_1,xm3_1,xs1_1,xs2_1,xs3_1,Fm1_1,Fm2_1,Fta1_1,Fta2_1,Fta3_1,Thr1_1,Thr3_1,Tr11_1,Tr12_1,Tr13_1,Tr22_2,omhr1_1,omhr2_1,omhr3_1,omr21_1,omr21_2,omr22_1,omr22_2,omr23_1,omr23_2,omu_1,xfa1_1,xfa2_1,xfa3_1
0,1,0,0,0,1,1,0,0,0,0,0,0,7.316345556247935,-0,0,0,-0,-0,-0,0,0,0,0,-0,-0,-0,0,3.658172778123967,-0,-0,-0,-7.316345556247935,-0,-0,-0,-7.316345556247935,0,-0,0,-0,0,2.493654443752066,0,0,2.493654443752066,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0,-0,-0,1,0,0,0,0,0,-0,-0,0,0,-2.493654443752066,-0,-0,0,0,0,-2.493654443752066,0,0,0,0,0,0,0,0,0,0,1,0,0
0.07316345335756019,0.9999999692477335,0,0.0001829086300619941,0,0.9999999692477335,0.9999999692477335,0,0,0.0001829086300619941,0.0001829086300619941,0,0,7.316345271918857,-6.691113512117969e-06,0,0.03658172555380909,-0,-6.691113512117969e-06,-6.691113512117969e-06,0,0,0.03658172555380909,0.03658172555380909,-0,-0,-0.002007334031021202,0,3.658172278689843,-0,-0.008029335698080526,-0,-7.316342618978161,-2.676445322540425e-05,-0,-0.07316344640995143,-7.316342618978161,0,-0.008029335698080526,0,-0,0,2.49365738102184,0,0,2.493654206954393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.676445322540425e-05,-0,-0.07316344640995143,0.999999905039901,0,-0.0003658172488742783,0,0,0,-0.008029335698080526,-0,0.008029335698080526,0,-2.49365738102184,-0,-0,0,0,0,-2.493654206954393,0,0.07316345335756019,0,0,0,0.07316345335756019,0.07316345335756019,0,0,0.07316345335756019,0.999999905039901,0,-0.0003658172488742783
0.146326840569086,0.9999995079745044,0,0.0007316337556703286,0,0.9999995079745044,0.9999995079745044,0,0,0.0007316337556703286,0.0007316337556703286,0,0,7.316341006842807,-5.352882796046689e-05,0,0.07316338428627488,-0,-5.352882796046689e-05,-5.352882796046689e-05,0,0,0.07316338428627488,0.07316338428627488,-0,-0,-0.008029324458276876,0,3.658164787156111,-0,-0.03211727056923643,-0,-7.316298560041078,-0.0002141152064916752,-0,-0.1463266182490541,-7.316298560041078,0,-0.03211727056923643,0,-0,0,2.493701439958922,0,0,2.493650655046361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0002141152064916752,-0,-0.1463266182490541,0.9999984806612986,0,-0.001463266791375735,0,0,0,-0.03211727056923643,-0,0.03211727056923643,0,-2.493701439958922,-0,-0,0,0,0,-2.493650655046361,0,0.146326840569086,0,0,0,0.146326840569086,0.146326840569086,0,0,0.146326840569086,0.9999984806612986,0,-0.001463266791375735
0.2194900015850753,0.999997892814378,0,0.001646173092723129,0,0.999997892814378,0.999997892814378,0,0,0.001646173092723129,0.001646173092723129,0,0,7.316316910525103,-0.0001806592673655539,0,0.1097447695394499,-0,-0.0001806592673655539,-0.0001806592673655539,0,0,0.1097447695394499,0.1097447695394499,-0,-0,-0.0180659018380546,0,3.658130920392211,-0,-0.07226332452830048,-0,-7.316107639221013,-0.0007226355467317728,-0,-0.2194884817808491,-7.316107639221013,0,-0.07226332452830048,0,-0,0,2.493892360778988,0,0,2.493637177058663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0007226355467317728,-0,-0.2194884817808491,0.9999930757473451,0,-0.003292339247861713,0,0,0,-0.07226332452830048,-0,0.07226332452830048,0,-2.493892360778988,-0,-0,0,0,0,-2.493637177058663,0,0.2194900015850753,0,0,0,0.2194900015850753,0.2194900015850753,0,0,0.2194900015850753,0.9999930757473451,0,-0.003292339247861713
0.2926523628767018,0.9999938825218335,0,0.002926517901057378,0,0.9999938825218335,0.9999938825218335,0,0,0.002926517901057378,0.002926517901057378,0,0,7.316247087642378,-0.0004282261893727039,0,0.1463252862911308,-0,-0.0004282261893727039,-0.0004282261893727039,0,0,0.1463252862911308,0.1463252862911308,-0,-0,-0.03211678442612681,0,3.658038504627197,-0,-0.1284656182989202,-0,-7.315593631344901,-0.00171289427883336,-0,-0.2926462758755556,-7.315593631344901,0,-0.1284656182989202,0,-0,0,2.494406368655099,0,0,2.493602577171156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.00171289427883336,-0,-0.2926462758755556,0.9999792005740653,0,-0.00585299999629603,0,0,0,-0.1284656182989202,-0,0.1284656182989202,0,-2.494406368655099,-0,-0,0,0,0,-2.493602577171156,0,0.2926523628767018,0,0,0,0.2926523628767018,0.2926523628767018,0,0,0.2926523628767018,0.9999792005740653,0,-0.00585299999629603
0.3658135394576632,0.9999867774015723,0,0.004572661305875598,0,0.9999867774015723,0.9999867774015723,0,0,0.004572661305875598,0.004572661305875598,0,0,7.316080096516888,-0.0008363707085217262,0,0.1829043512260657,-0,-0.0008363707085217262,-0.0008363707085217262,0,0,0.1829043512260657,0.1829043512260657,-0,-0,-0.05018142223612203,0,3.657838701599262,-0,-0.2007202367654608,-0,-7.314509842271223,-0.003345438598110843,-0,-0.3657962166306051,-7.314509842271223,0,-0.2007202367654608,0,-0,0,2.495490157728778,0,0,2.493536358607553,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.003345438598110843,-0,-0.3657962166306051,0.9999526457465634,0,-0.009145201686822809,0,0,0,-0.2007202367654608,-0,0.2007202367654608,0,-2.495490157728778,-0,-0,0,0,0,-2.493536358607553,0,0.3658135394576632,0,0,0,0.3658135394576632,0.3658135394576632,0,0,0.3658135394576632,0.9999526457465634,0,-0.009145201686822809
0.4389716307845667,0.9999736765093216,0,0.006584565628996307,0,0.9999736765093216,0.9999736765093216,0,0,0.006584565628996307,0.006584565628996307,0,0,7.315779090022703,-0.001445218756084258,0,0.2194800377594678,-0,-0.001445218756084258,-0.001445218756084258,0,0,0.2194800377594678,0.2194800377594678,-0,-0,-0.07225836882271262,0,3.657476051572912,-0,-0.2890175122918461,-0,-7.312539181460184,-0.005780722851527214,-0,-0.4389294882819842,-7.312539181460184,0,-0.2890175122918461,0,-0,0,2.497460818539817,0,0,2.493415045960805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.005780722851527214,-0,-0.4389294882819842,0.9999039972070467,0,-0.0131687846004887,0,0,0,-0.2890175122918461,-0,0.2890175122918461,0,-2.497460818539817,-0,-0,0,0,0,-2.493415045960805,0,0.4389716307845667,0,0,0,0.4389716307845667,0.4389716307845667,0,0,0.4389716307845667,0.9999039972070467,0,-0.0131687846004887
0.5121255146783463,0.9999535054521729,0,0.008962197164127387,0,0.9999535054521729,0.9999535054521729,0,0,0.008962197164127387,0.008962197164127387,0,0,7.315262884097347,-0.002294884917663777,0,0.2560508518170553,-0,-0.002294884917663777,-0.002294884917663777,0,0,0.2560508518170553,0.2560508518170553,-0,-0,-0.098345501272671,0,3.656873747568864,-0,-0.3933426489850927,-0,-7.309294233257839,-0.009179112872108861,-0,-0.5120367592747564,-7.309294233257839,0,-0.3933426489850927,0,-0,0,2.500705766742161,0,0,2.493222273707369,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.009179112872108861,-0,-0.5120367592747564,0.9998266920880801,0,-0.01792356094164541,0,0,0,-0.3933426489850927,-0,0.3933426489850927,0,-2.500705766742161,-0,-0,0,0,0,-2.493222273707369,0,0.5121255146783463,0,0,0,0.5121255146783463,0.5121255146783463,0,0,0.5121255146783463,0.9998266920880801,0,-0.01792356094164541
0.5852729464483701,0.9999237334109622,0,0.01170549568989181,0,0.9999237334109622,0.9999237334109622,0,0,0.01170549568989181,0.01170549568989181,0,0,7.314454011781318,-0.003425454976030838,0,0.2926141548385442,-0,-0.003425454976030838,-0.003425454976030838,0,0,0.2926141548385442,0.2926141548385442,-0,-0,-0.1284392292418362,0,3.655945668598209,-0,-0.5136707995125219,-0,-7.304317448045113,-0.01370077491305566,-0,-0.5851034830131853,-7.304317448045113,0,-0.5136707995125219,0,-0,0,2.505682551954887,0,0,2.492932416105364,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01370077491305566,-0,-0.5851034830131853,0.9997104540091709,0,-0.02340920590332509,0,0,0,-0.5136707995125219,-0,0.5136707995125219,0,-2.505682551954887,-0,-0,0,0,0,-2.492932416105364,0,0.5852729464483701,0,0,0,0.5852729464483701,0.5852729464483701,0,0,0.5852729464483701,0.9997104540091709,0,-0.02340920590332509
0.6584096398592513,0.9998805088388397,0,0.01481433850700845,0,0.9998805088388397,0.9998805088388397,0,0,0.01481433850700845,0.01481433850700845,0,0,7.313276769440159,-0.004876951640576235,0,0.3291654828634327,-0,-0.004876951640576235,-0.004876951640576235,0,0,0.3291654828634327,0.3291654828634327,-0,-0,-0.1625335423420685,0,3.654595932766905,-0,-0.649961345452248,-0,-7.297081531313969,-0.01950547555184712,-0,-0.6581078033703712,-7.297081531313969,0,-0.649961345452248,0,-0,0,2.512918468686031,0,0,2.492511271088398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01950547555184712,-0,-0.6581078033703712,0.9995415673304168,0,-0.02962513664899685,0,0,0,-0.649961345452248,-0,0.649961345452248,0,-2.512918468686031,-0,-0,0,0,0,-2.492511271088398,0,0.6584096398592513,0,0,0,0.6584096398592513,0.6584096398592513,0,0,0.6584096398592513,0.9995415673304168,0,-0.02962513664899685
